method,seed,formula,num_atoms,energy_ev_atom,energy_total_ev,mean_force_ev_a,maxF_ev_a,evaluator,surrogate_property_eval,dft_verified
C0,740000,Fe2Gd2,4,-11.227034568786621,-44.908138275146484,0.10983176884456332,0.21388639269015705,CHGNet_0.3.0,True,False
C0,740001,CoFe8,9,-8.210884094238281,-73.89795684814453,0.03579688426244638,0.0696229489304224,CHGNet_0.3.0,True,False
C0,740002,C6Fe13Gd,20,-8.91147518157959,-178.2295036315918,0.27026786222786764,0.889724802874187,CHGNet_0.3.0,True,False
C0,740003,Fe2Gd6N2,10,-12.394523620605469,-123.94523620605469,0.3211287172460616,0.4730836830022946,CHGNet_0.3.0,True,False
C0,740004,CoFe4Mn,6,-8.249858856201172,-49.49915313720703,0.11560988434959753,0.1777642301562248,CHGNet_0.3.0,True,False
C0,740005,H2EuGd,4,-7.954333782196045,-31.81733512878418,0.38383951391447274,0.7054441827635574,CHGNet_0.3.0,True,False
C0,740006,Gd6,6,-14.045088768005371,-84.27053260803223,0.007125849294631528,0.01062079849502011,CHGNet_0.3.0,True,False
C0,740007,Co2Fe2,4,-7.67783260345459,-30.71133041381836,0.08096488019881268,0.09480973800374952,CHGNet_0.3.0,True,False
C0,740008,CoFe7,8,-8.192038536071777,-65.53630828857422,0.03266356337104604,0.06410936741263756,CHGNet_0.3.0,True,False
C0,740009,Co3Fe7,10,-7.9649457931518555,-79.64945793151855,0.04345852871955333,0.07152085092093848,CHGNet_0.3.0,True,False
C0,740010,Co5Fe9,14,-7.880252838134766,-110.32353973388672,0.06782021477185958,0.11909550003197439,CHGNet_0.3.0,True,False
C0,740011,Fe4,4,-8.356587409973145,-33.42634963989258,0.008489801928558392,0.011119822491860065,CHGNet_0.3.0,True,False
C0,740012,Co4Fe3,7,-7.575316429138184,-53.027215003967285,0.03328750877008855,0.06168080399975371,CHGNet_0.3.0,True,False
C0,740013,Eu2GdN,4,-11.45525074005127,-45.82100296020508,0.03267850338347844,0.04933419458777488,CHGNet_0.3.0,True,False
C0,740014,Co5Fe7,12,-7.802068710327148,-93.62482452392578,0.058969051488619584,0.10897335151174216,CHGNet_0.3.0,True,False
C0,740015,HGdO,3,-9.841985702514648,-29.525957107543945,0.018969163261278812,0.027338950285722453,CHGNet_0.3.0,True,False
C0,740016,Gd7Ge,8,-12.941171646118164,-103.52937316894531,0.00867330985762206,0.016040749228131902,CHGNet_0.3.0,True,False
C0,740017,H2Fe16,18,-7.812616348266602,-140.62709426879883,0.08843785058021257,0.19291659132215228,CHGNet_0.3.0,True,False
C0,740018,Co8Gd12,20,-11.438581466674805,-228.7716293334961,0.17874466791795593,0.2803062492894993,CHGNet_0.3.0,True,False
C0,740019,Fe6,6,-8.355165481567383,-50.1309928894043,0.036205935332248515,0.06577390239035419,CHGNet_0.3.0,True,False
C0,740020,EuGd3,4,-13.02628231048584,-52.10512924194336,0.02281983389223786,0.030508706718653685,CHGNet_0.3.0,True,False
C0,740021,Fe14,14,-8.356287002563477,-116.98801803588867,0.036462413850138826,0.07919739352624527,CHGNet_0.3.0,True,False
C0,740022,Co3Fe7,10,-7.957545280456543,-79.57545280456543,0.05337511000630026,0.08845592498876137,CHGNet_0.3.0,True,False
C0,740023,CoFe5,6,-8.137967109680176,-48.827802658081055,0.03175344569345139,0.05831467635911762,CHGNet_0.3.0,True,False
C0,740024,Co2Fe6,8,-8.033775329589844,-64.27020263671875,0.03206694693970959,0.06553598418998795,CHGNet_0.3.0,True,False
C0,740025,Co2Fe2,4,-7.681564807891846,-30.726259231567383,0.01247792126555389,0.01871220349802302,CHGNet_0.3.0,True,False
C0,740026,CoFe3,4,-8.016746520996094,-32.066986083984375,0.026573736436555806,0.051361372567409594,CHGNet_0.3.0,True,False
C0,740027,Co2Fe3,5,-7.843385219573975,-39.21692609786987,0.029394606864827803,0.047901752592774426,CHGNet_0.3.0,True,False
C0,740028,Eu3Gd8,11,-12.937637329101562,-142.3140106201172,0.058679314501068364,0.09643455342502057,CHGNet_0.3.0,True,False
C0,740029,Fe17Gd2O,20,-8.918118476867676,-178.36236953735352,0.27998732034295765,1.0744900453644088,CHGNet_0.3.0,True,False
C0,740030,Co3Fe6,9,-7.908911228179932,-71.18020105361938,0.06401460188002889,0.09754907130765701,CHGNet_0.3.0,True,False
C0,740031,Co5Fe7,12,-7.802303314208984,-93.62763977050781,0.06642151728144173,0.12074301426059288,CHGNet_0.3.0,True,False
C0,740032,Co5Fe3,8,-7.3752288818359375,-59.0018310546875,0.1160007795325891,0.3296409647790069,CHGNet_0.3.0,True,False
C0,740033,Co6Fe10,16,-7.859382152557373,-125.75011444091797,0.04655746960743654,0.10441310994267575,CHGNet_0.3.0,True,False
C0,740034,Co6Fe6,12,-7.701337814331055,-92.41605377197266,0.03820164785169588,0.10296590003903669,CHGNet_0.3.0,True,False
C0,740035,C2Fe14,16,-8.420961380004883,-134.73538208007812,0.19416535414765246,0.3199872491097756,CHGNet_0.3.0,True,False
C0,740036,CoFe3,4,-8.040082931518555,-32.16033172607422,0.0013742885959733137,0.002064976887737922,CHGNet_0.3.0,True,False
C0,740037,Co2Fe4,6,-7.912618637084961,-47.475711822509766,0.07546574418776801,0.11015894624702607,CHGNet_0.3.0,True,False
C0,740038,Fe6,6,-8.355838775634766,-50.135032653808594,0.017200689970993093,0.02353400301307229,CHGNet_0.3.0,True,False
C0,740039,C4FGd8,13,-12.300189018249512,-159.90245723724365,0.1372047767212532,0.2432144133891519,CHGNet_0.3.0,True,False
C0,740040,Fe6,6,-8.355448722839355,-50.13269233703613,0.0338111792746721,0.0663132143396347,CHGNet_0.3.0,True,False
C0,740041,Gd10,10,-14.022980690002441,-140.2298069000244,0.10350157223289025,0.18879338727710132,CHGNet_0.3.0,True,False
C0,740042,Co2Fe10,12,-8.135266304016113,-97.62319564819336,0.04059888826568312,0.06987093923888907,CHGNet_0.3.0,True,False
C0,740043,CoFe8,9,-8.210248947143555,-73.89224052429199,0.03768932697469676,0.07215165831991978,CHGNet_0.3.0,True,False
C0,740044,Co3Fe5,8,-7.859560012817383,-62.87648010253906,0.04171850072365847,0.06210383618865192,CHGNet_0.3.0,True,False
C0,740045,CoFe5,6,-8.13395881652832,-48.80375289916992,0.025986318933138547,0.04938878916481011,CHGNet_0.3.0,True,False
C0,740046,Co4Fe5,9,-7.769921779632568,-69.92929601669312,0.051545681284622766,0.09296204982308141,CHGNet_0.3.0,True,False
C0,740047,Fe4Gd4O8,16,-10.389705657958984,-166.23529052734375,0.05064715882201592,0.09922700033189352,CHGNet_0.3.0,True,False
C0,740048,Co2Fe16,18,-8.090160369873047,-145.62288665771484,0.12775323694822444,0.2657004296545174,CHGNet_0.3.0,True,False
C0,740049,Co5Fe11,16,-7.940138816833496,-127.04222106933594,0.05815118278354662,0.10038605879778524,CHGNet_0.3.0,True,False
C0,740050,H2Fe4,6,-6.720272541046143,-40.321635246276855,0.07476621445843569,0.11526373996380682,CHGNet_0.3.0,True,False
C0,740051,Gd4Ge,5,-12.53381061553955,-62.669053077697754,0.2643367652246079,0.34117642849640156,CHGNet_0.3.0,True,False
C0,740052,Co2Fe8,10,-8.095292091369629,-80.95292091369629,0.012036322802569761,0.024719089811926845,CHGNet_0.3.0,True,False
C0,740053,Co7Fe13,20,-7.894636154174805,-157.8927230834961,0.05613152566546139,0.1175352689755506,CHGNet_0.3.0,True,False
C0,740054,Co2Fe4,6,-7.9126105308532715,-47.47566318511963,0.018985567336086185,0.03468263069533555,CHGNet_0.3.0,True,False
C0,740055,Co2Fe4,6,-7.921689987182617,-47.5301399230957,0.047810984640117425,0.09201162976876887,CHGNet_0.3.0,True,False
C0,740056,Co3Fe9,12,-8.02345085144043,-96.28141021728516,0.049110271166397844,0.0997998736063843,CHGNet_0.3.0,True,False
C0,740057,Co4Fe8,12,-7.908256530761719,-94.89907836914062,0.04697623434473406,0.08682799556700539,CHGNet_0.3.0,True,False
C0,740058,Co2Fe7,9,-8.059661865234375,-72.53695678710938,0.05406576077949084,0.09659620270592739,CHGNet_0.3.0,True,False
C0,740059,Fe4Gd6,10,-11.780057907104492,-117.80057907104492,0.21927824108090382,0.3757079836306794,CHGNet_0.3.0,True,False
C0,740060,Co4Fe8,12,-7.923576354980469,-95.08291625976562,0.03924110648720878,0.0706440211387785,CHGNet_0.3.0,True,False
C0,740061,Co2Gd2,4,-10.720097541809082,-42.88039016723633,0.0013910813145234038,0.0022886082404691057,CHGNet_0.3.0,True,False
C0,740062,Co4Fe11,15,-8.002008438110352,-120.03012657165527,0.07662779938053042,0.14492465453614006,CHGNet_0.3.0,True,False
C0,740063,Gd2NO2,5,-11.931730270385742,-59.65865135192871,0.42643044892363335,0.9983660324601751,CHGNet_0.3.0,True,False
C0,740064,Co5Fe7,12,-7.806317329406738,-93.67580795288086,0.04505104032031223,0.09441874415657898,CHGNet_0.3.0,True,False
