seed,B0_formula,F0_formula,maxF_pair_outcome_for_F0,B0_maxF_ev_per_a,F0_maxF_ev_per_a,delta_F0_minus_B0_maxF_ev_per_a,B0_atomic_force_mean_ev_per_a,F0_atomic_force_mean_ev_per_a,delta_F0_minus_B0_atomic_force_mean_ev_per_a,B0_rmsd_a,F0_rmsd_a,delta_F0_minus_B0_rmsd_a,B0_e_hull_ev_per_atom,F0_e_hull_ev_per_atom,delta_F0_minus_B0_e_hull_ev_per_atom,B0_stable,F0_stable,delta_F0_minus_B0_stable,B0_nus,F0_nus,delta_F0_minus_B0_nus,B0_novel,F0_novel,delta_F0_minus_B0_novel,B0_unique,F0_unique,delta_F0_minus_B0_unique,B0_mag_absolute_error_a3,F0_mag_absolute_error_a3,delta_F0_minus_B0_mag_absolute_error_a3,B0_mag_hit,F0_mag_hit,delta_F0_minus_B0_mag_hit,B0_valid,F0_valid,delta_F0_minus_B0_valid,B0_end_to_end_generation_seconds,F0_end_to_end_generation_seconds,delta_F0_minus_B0_end_to_end_generation_seconds
710032,Gd2,Gd2,loss,0.0023926741300478007,0.003708821671124132,0.0013161475410763315,0.0023926741300478007,0.003708821671124132,0.0013161475410763315,0.0006859797441049815,0.00116342552683041,0.0004774457827254286,0.016038850717773556,0.016046480112304806,7.62939453125e-06,True,True,0.0,False,False,0.0,False,False,0.0,True,True,0.0,0.01195788010973331,0.01212794538739903,0.00017006527766572077,False,False,0.0,True,True,0.0,87.30214127601357,88.14954510796815,0.8474038319545798
710033,CFe16Gd3,CFe16Gd3,win,1.5593721954139588,1.497515155325371,-0.061857040088587834,0.7097485934025198,0.6611356956282193,-0.048612897774300556,0.18114711897903887,0.17944360463856382,-0.0017035143404750541,0.49993434939648473,0.49992900882031144,-5.3405761732960855e-06,False,False,0.0,False,False,0.0,True,True,0.0,True,True,0.0,0.004955567655451298,0.005002469332612697,4.690167716139837e-05,True,True,0.0,True,True,0.0,596.9193901679828,591.8817859819974,-5.037604185985401
710034,H4Fe10,H4Fe10,win,0.8506407186431154,0.7124642053817675,-0.13817651326134794,0.39357461005644023,0.3297036361502945,-0.06387097390614571,1.069618142683628,1.0662753639351776,-0.003342778748450348,0.14017881566127333,0.1532245353529582,0.013045719691684887,False,False,0.0,False,False,0.0,True,True,0.0,True,True,0.0,0.025440183788235593,0.024568123634392786,-0.0008720601538428074,False,False,0.0,True,True,0.0,595.4920945059857,591.3867922920035,-4.105302213982213
710035,Co4Fe4,Co4Fe4,win,0.9442320209507591,0.813619935562319,-0.13061208538844005,0.4446376781417398,0.3864792146443292,-0.058158463497410606,0.4542192427393389,0.4534713091098569,-0.0007479336294820005,0.09195827859863304,0.09194445032104515,-1.3828277587890625e-05,True,True,0.0,False,False,0.0,False,False,0.0,True,True,0.0,0.020440850577636976,0.02032201933144759,-0.00011883124618938812,False,False,0.0,True,True,0.0,83.04319831699831,85.23631900094915,2.1931206839508377
710036,H2Gd8,H2Gd8,win,0.11238708694602996,0.09643049057326268,-0.01595659637276728,0.07755533351226898,0.06602838792504626,-0.011526945587222726,0.024794195987573348,0.014269844802405729,-0.010524351185167619,0.058700714517577524,0.058840332437499754,0.00013961791992223027,True,True,0.0,True,True,0.0,True,True,0.0,True,True,0.0,0.014067589251393814,0.01396287909283675,-0.00010471015855706423,False,False,0.0,True,True,0.0,87.87741302500945,88.22785865498008,0.3504456299706362
710037,Gd8N3,Gd8N3,win,0.16558035507725094,0.13072216775577622,-0.03485818732147472,0.06816197310447826,0.05631497216948604,-0.011847000934992219,0.0295189810627515,0.03693120885169781,0.007412227788946308,0.13277672353693326,0.13267268633877904,-0.00010403719815421653,False,False,0.0,False,False,0.0,True,True,0.0,True,True,0.0,0.011018253760523011,0.010840062614219631,-0.0001781911463033803,False,False,0.0,True,True,0.0,88.54942389199277,89.16900603094837,0.6195821389555931
710038,Co3Fe7,Co3Fe7,win,0.07531112342982409,0.02062097836670947,-0.05469014506311462,0.04222577614536168,0.011475522385271084,-0.030750253760090596,0.0037624887913015608,0.0010145626449375562,-0.0027479261463640046,0.009230038015626718,0.009194179861328422,-3.5858154298296085e-05,True,True,0.0,True,True,0.0,True,True,0.0,True,True,0.0,0.0004294406122535843,0.0004431856816232149,1.3745069369630603e-05,True,True,0.0,True,True,0.0,86.3009333210066,87.01904678693973,0.7181134659331292
710039,CoFe15,CoFe15,win,0.41352728926977456,0.30317988032278215,-0.11034740894699241,0.2189924836375752,0.16907866863544627,-0.049913815002128936,0.039224908406953,0.035755882871659296,-0.0034690255352937058,0.23073549956787076,0.23065539092529264,-8.0108642578125e-05,False,False,0.0,False,False,0.0,True,True,0.0,True,True,0.0,0.0023953534418554023,0.0022664970450932687,-0.00012885639676213367,True,True,0.0,True,True,0.0,87.37469352298649,88.11905961099546,0.7443660880089737
710040,CoFe8,CoFe8,win,0.027422454918321956,0.004466071145660356,-0.022956383772661598,0.019134520146899953,0.0022127402005627317,-0.016921779946337222,0.0008295742009895666,0.0004454294548450023,-0.00038414474614456427,0.0007350278472237903,0.0007316370052095067,-3.390842014283635e-06,True,True,0.0,False,False,0.0,False,False,0.0,True,True,0.0,0.006436807928362459,0.006439875173061993,3.0672446995338998e-06,True,True,0.0,True,True,0.0,86.95345595496474,87.59242149896454,0.6389655439998023
710041,Fe4,Fe4,win,0.032323376349224414,0.017028469657476564,-0.01529490669174785,0.029116262071438817,0.01563680839726782,-0.013479453674170996,0.0,0.0,0.0,-0.00784782381347604,-0.007845916464843228,1.9073486328125e-06,True,True,0.0,False,False,0.0,False,False,0.0,True,True,0.0,0.011931709684900649,0.011954779391880638,2.3069706979989002e-05,False,False,0.0,True,True,0.0,85.83695494598942,87.1205681830179,1.2836132370284759
